secs1 secs2 secs3 secs4 secs5 nthreads
0.036619 0.028879 0.043226 0.789966 0.864303 1
0.029822 0.031903 0.034417 0.718975 0.713964 2
0.031137 0.033002 0.031113 0.733012 0.680220 3
0.034004 0.038399 0.029473 0.744306 0.711161 4
0.032736 0.029118 0.036693 0.678907 0.728549 5
0.031020 0.037424 0.032703 0.775035 0.715267 6
0.027946 0.034859 0.030486 0.689787 0.695238 7
0.030545 0.032146 0.037228 0.700869 0.729610 8
0.034503 0.037177 0.029062 0.710300 0.693661 9
0.027482 0.030063 0.043539 0.755421 0.717504 10
