pi secs nthreads
3.141593 0.217044 1
3.141593 0.217985 2
3.141593 0.216873 3
3.141593 0.235821 4
3.141593 0.218898 5
3.141593 0.218683 6
3.141593 0.206938 7
3.141593 0.226217 8
3.141593 0.226000 9
3.141593 0.214564 10
3.141593 0.212869 11
3.141593 0.221004 12
3.141593 0.216710 13
3.141593 0.219197 14
3.141593 0.209397 15
3.141593 0.216802 16
3.141593 0.200943 17
3.141593 0.207242 18
3.141593 0.212257 19
3.141593 0.205227 20
3.141593 0.220709 21
3.141593 0.203205 22
3.141593 0.207204 23
3.141593 0.207383 24
3.141593 0.190041 25
3.141593 0.198664 26
3.141593 0.205064 27
3.141593 0.206979 28
3.141593 0.215980 29
3.141593 0.206781 30
3.141593 0.201206 31
3.141593 0.218493 32
