pi secs nthreads
3.141593 2.154436 1
3.141593 2.091863 2
3.141593 2.234646 3
3.141593 2.347744 4
3.141593 2.125442 5
3.141593 2.286798 6
3.141593 2.219248 7
3.141593 2.383084 8
3.141593 2.297575 9
3.141593 2.126196 10
3.141593 2.136090 11
3.141593 2.278698 12
3.141593 2.373014 13
3.141593 2.183665 14
3.141593 2.070429 15
3.141593 2.336193 16
3.141593 2.310885 17
3.141593 2.428174 18
3.141593 2.298351 19
3.141593 2.162957 20
3.141593 2.118864 21
3.141593 2.137828 22
3.141593 2.113008 23
3.141593 2.166723 24
3.141593 2.147053 25
3.141593 2.218849 26
3.141593 2.202931 27
3.141593 2.171681 28
3.141593 2.198151 29
3.141593 2.281004 30
3.141593 2.223741 31
3.141593 2.201813 32
