pi secs nthreads
3.141593 2.134567 1
3.141593 2.094119 2
3.141593 2.168877 3
3.141593 2.321773 4
3.141593 2.358262 5
3.141593 2.415091 6
3.141593 2.414981 7
3.141593 2.097437 8
3.141593 2.105762 9
3.141593 2.083338 10
3.141593 2.117489 11
3.141593 2.208122 12
3.141593 2.129805 13
3.141593 2.131851 14
3.141593 2.099994 15
3.141593 2.108209 16
3.141593 2.417818 17
3.141593 2.736222 18
3.141593 2.123990 19
3.141593 2.349641 20
3.141593 2.644297 21
3.141593 2.318040 22
3.141593 2.355444 23
3.141593 2.095437 24
3.141593 2.211885 25
3.141593 2.402186 26
3.141593 2.197522 27
3.141593 2.158437 28
3.141593 2.133938 29
3.141593 2.063624 30
3.141593 2.156536 31
3.141593 2.200865 32
